,mail_id,label,prob,true_label
0,2494,legit,5%,0
1,2492,legit,5,0
2,3802,legit,5,0
3,2988,legit,5%,0
4,2472,legit,5%,0
5,3574,legit,10,0
6,3801,legit,5,0
7,3582,legit,5,0
8,319,legit,10,0
9,3573,legit,5,0
10,2491,legit,0,0
11,3735,legit,5%,0
12,2489,legit,0,0
13,2490,legit,5,0
14,2488,legit,5,0
15,2483,legit,5%,0
16,2496,legit,5,0
17,2972,legit,5,0
18,2487,legit,0,0
19,320,legit,5%,0
20,3804,legit,5,0
21,2482,legit,5,0
22,3581,legit,10,0
23,3260,legit,5,0
24,2945,legit,5,0
25,3580,legit,10,0
26,3262,legit,5,0
27,3794,legit,5%,0
28,2481,legit,5,0
29,2486,legit,5,0
30,2484,legit,0,0
31,3803,legit,5%,0
32,2485,legit,5,0
33,2951,legit,0,0
34,2949,legit,5%,0
35,2950,legit,5,0
36,2948,legit,5,0
37,2947,legit,5,0
38,3800,legit,5%,0
39,3733,legit,5,0
40,3579,legit,10,0
41,3578,legit,5,0
42,3577,legit,5,0
43,2476,legit,5,0
44,3576,legit,5%,0
45,2480,legit,5,0
46,2479,legit,5%,0
47,3732,legit,5,0
48,2478,legit,5%,0
49,3734,legit,5,0
