mail_id,label,prob,true_label1,legit,0%,03,legit,0%,08,legit,0%,09,legit,0%,011,legit,0%,012,legit,0%,017,legit,0%,020,legit,0%,021,legit,0%,022,legit,0%,023,legit,5%,024,legit,0%,027,legit,0%,029,legit,0%,031,legit,0%,032,legit,0%,033,legit,5%,034,legit,0%,039,legit,0%,042,legit,10%,043,legit,0%,045,legit,0%,048,legit,0%,049,legit,0%,054,legit,0%,055,legit,0%,056,legit,0%,061,legit,5%,063,legit,0%,064,legit,0%,066,legit,0%,073,legit,10%,074,legit,10%,075,legit,10%,076,legit,10%,078,legit,10%,079,legit,0%,081,legit,10%,082,legit,0%,092,legit,10%,093,legit,0%,094,legit,10%,096,legit,0%,097,legit,10%,0100,legit,0%,0102,legit,10%,0103,legit,0%,0104,legit,0%,0106,legit,0%,0108,legit,0%,0125,legit,5%,0129,legit,0%,0130,legit,10%,0134,legit,10%,0135,legit,10%,0138,phishing,85%,0141,legit,0%,0142,legit,0%,0143,legit,10%,0144,legit,10%,0145,legit,0%,0148,legit,10%,0149,legit,0%,01728,phishing,95%,11731,phishing,85%,1150,legit,10%,0
151,legit,10%,0
153,legit,10%,0
154,legit,10%,0
155,legit,10%,0
157,legit,10%,0
158,legit,10%,0
159,legit,0%,0
160,legit,10%,0
162,legit,10%,0
163,legit,0%,0
164,legit,0%,0
165,legit,0%,0
166,legit,0%,0
167,legit,10%,0
168,legit,10%,0
169,legit,10%,0
170,legit,10%,0
171,legit,10%,0
172,legit,0%,0
173,legit,10%,0
174,legit,0%,0
175,legit,10%,0
176,legit,0%,0
178,legit,10%,0
179,legit,0%,0
181,legit,0%,0
182,legit,0%,0
183,legit,0%,0
184,legit,0%,0
185,legit,10%,0
186,legit,0%,0
187,legit,10%,0
188,legit,0%,0
189,legit,0%,0
190,legit,0%,0
191,legit,10%,0
192,legit,10%,0
193,legit,0%,0
194,legit,0%,0
195,legit,10%,0
196,legit,0%,0
197,phishing,95%,0
198,legit,0%,0
199,legit,10%,0
200,legit,10%,0
203,legit,0%,0
206,legit,10%,0
207,legit,0%,0
208,legit,0%,0
209,legit,10%,0
210,legit,10%,0
211,legit,10%,0
213,legit,10%,0
214,legit,10%,0
215,legit,10%,0
216,legit,10%,0
217,legit,0%,0
218,legit,0%,0
219,legit,0%,0
220,legit,10%,0
221,legit,0%,0
222,legit,0%,0
223,legit,10%,0
225,legit,10%,0
226,legit,0%,0
227,legit,0%,0
228,legit,0%,0
229,legit,10%,0
230,legit,0%,0
234,legit,0%,0
235,legit,0%,0
236,legit,0%,0
