,mail_id,label,prob,true_label
0,1612,0,0.05,0
1,938,0,0.0,0
2,1300,0,0.05,0
3,1297,0,0.05,0
4,1298,0,0.05,0
5,1611,0,0.05,0
6,290,0,0.05,0
7,289,0,0.05,0
8,1610,0,0.05,0
9,272,0,1.0,0
10,1609,0,0.05,0
11,287,0,0.05,0
12,288,0,0.05,0
13,285,0,0.05,0
14,291,0,0.05,0
15,279,0,0.05,0
16,3440,0,1.0,0
17,3435,0,0.05,0
18,3438,0,0.1,0
19,3563,0,0.05,0
20,3437,0,0.05,0
21,2522,0,0.05,0
22,2519,0,0.0,0
23,3052,0,0.05,0
24,2521,0,0.05,0
25,2520,0,0.0,0
26,3051,0,0.0,0
27,3050,0,0.05,0
28,2518,0,0.05,0
29,3049,0,0.05,0
30,3048,0,0.05,0
31,1095,0,0.05,0
32,1093,0,0.05,0
33,1092,0,0.05,0
34,1094,0,0.05,0
35,1089,0,0.0,0
36,1088,0,0.05,0
37,1090,0,0.05,0
38,1048,0,0.05,0
39,426,0,0.05,0
40,3243,0,0.0,0
41,2866,0,0.05,0
42,3109,0,0.05,0
43,2861,0,0.05,0
44,3100,0,0.05,0
45,2859,0,0.05,0
46,3103,0,0.05,0
47,2860,0,0.05,0
48,3488,0,0.05,0
49,3098,0,0.05,0
50,2855,0,0.0,0
51,2857,0,0.05,0
52,2853,0,0.0,0
53,2858,0,0.05,0
54,2845,0,0.05,0
55,2854,0,0.05,0
56,2856,0,0.05,0
57,2851,0,0.05,0
58,2850,0,0.05,0
59,2852,0,0.05,0
60,2849,0,0.05,0
61,2847,0,0.05,0
62,2846,0,0.05,0
63,2844,0,0.05,0
64,2848,0,0.0,0
65,2843,0,1.0,0
66,2842,0,0.05,0
67,2841,0,0.05,0
68,2840,0,0.05,0
69,2839,0,0.05,0
70,4022,0,0.05,0
71,2838,0,1.0,0
72,2837,0,1.0,0
73,2835,0,1.0,0
74,2836,0,0.0,0
75,2862,0,0.05,0
76,2833,0,0.05,0
77,2832,0,0.05,0
78,2829,0,0.0,0
79,2828,0,0.05,0
80,2830,0,0.0,0
81,4019,0,0.05,0
82,3486,0,0.05,0
83,2827,0,0.05,0
84,1745,0,0.05,0
85,548,0,0.05,0
86,547,0,0.05,0
87,546,0,0.05,0
88,1103,0,0.05,0
89,1102,0,0.05,0
90,1100,0,0.05,0
91,993,0,0.05,0
92,986,0,0.05,0
93,544,0,0.05,0
94,991,0,0.05,0
95,990,0,0.05,0
96,981,0,0.05,0
97,989,0,0.05,0
98,985,0,0.05,0
99,1578,0,0.05,0
100,987,0,0.05,0
101,983,0,0.05,0
102,988,0,0.05,0
103,1449,0,0.05,0
104,539,0,0.05,0
105,1777,0,0.05,0
106,1776,0,0.05,0
107,984,0,0.05,0
108,840,0,0.05,0
109,842,0,0.05,0
110,841,0,0.05,0
111,838,0,0.0,0
112,837,0,0.05,0
113,4054,0,0.05,0
114,1208,0,0.05,0
